month,cpi
2023 May,113.034
2023 Apr,112.669
2023 Mar,112.583
2023 Feb,112.019
2023 Jan,111.397
2022 Dec,111.186
2022 Nov,110.959
2022 Oct,109.893
2022 Sep,110.339
2022 Aug,109.863
2022 Jul,108.836
2022 Jun,108.671
2022 May,107.598
2022 Apr,106.547
2022 Mar,106.691
2022 Feb,105.379
2022 Jan,104.472
2021 Dec,104.439
2021 Nov,103.959
2021 Oct,102.95
2021 Sep,102.657
2021 Aug,102.231
2021 Jul,101.672
2021 Jun,101.87
2021 May,101.883
2021 Apr,101.07
2021 Mar,101.239
2021 Feb,101.015
2021 Jan,100.44
2020 Dec,100.469
2020 Nov,100.105
2020 Oct,99.711
2020 Sep,100.139
2020 Aug,99.807
2020 Jul,99.178
2020 Jun,99.5
2020 May,99.48
2020 Apr,99.012
2020 Mar,99.933
2020 Feb,100.279
2020 Jan,100.204
2019 Dec,100.445
2019 Nov,100.254
2019 Oct,99.93
2019 Sep,100.147
2019 Aug,100.209
2019 Jul,99.587
2019 Jun,100.038
2019 May,100.325
2019 Apr,99.753
2019 Mar,99.972
2019 Feb,99.953
2019 Jan,99.387
2018 Dec,99.686
2018 Nov,99.61
2018 Oct,99.447
2018 Sep,99.753
2018 Aug,99.778
2018 Jul,99.359
2018 Jun,99.505
2018 May,99.449
2018 Apr,98.833
2018 Mar,99.299
2018 Feb,99.501
2018 Jan,99.035
2017 Dec,99.225
2017 Nov,99.322
2017 Oct,98.75
2017 Sep,99.036
2017 Aug,99.056
2017 Jul,98.726
2017 Jun,98.956
2017 May,99.098
2017 Apr,98.762
2017 Mar,99.064
2017 Feb,99.023
2017 Jan,99.026
2016 Dec,98.854
2016 Nov,98.699
2016 Oct,98.383
2016 Sep,98.666
2016 Aug,98.657
2016 Jul,98.173
2016 Jun,98.449
2016 May,97.724
2016 Apr,98.365
2016 Mar,98.416
2016 Feb,98.375
2016 Jan,98.476
2015 Dec,98.693
2015 Nov,98.684
2015 Oct,98.487
2015 Sep,98.912
2015 Aug,98.911
2015 Jul,98.818
2015 Jun,99.171
2015 May,99.279
2015 Apr,98.829
2015 Mar,99.449
2015 Feb,99.211
2015 Jan,99.114
2014 Dec,99.328
2014 Nov,99.441
2014 Oct,99.255
2014 Sep,99.553
2014 Aug,99.742
2014 Jul,99.213
2014 Jun,99.508
2014 May,99.676
2014 Apr,99.342
2014 Mar,99.749
2014 Feb,99.484
2014 Jan,99.506
2013 Dec,99.404
2013 Nov,99.72
2013 Oct,99.02
2013 Sep,98.865
2013 Aug,98.718
2013 Jul,97.929
2013 Jun,97.656
